length;elapsed;holdingCost;shortageCost;orderCost;popStd;viability
50;0;68.2071;14.1073;89.4949;77.4236;508
268;0;68.182;13.9567;89.5174;33.408;721
892;0;68.182;13.9567;89.5174;20.4657;765
1882;0;67.3984;16.0165;87.1652;36.4193;749
3092;0;68.2363;15.1501;87.1551;26.7433;699
4252;0;68.2363;15.1501;87.1551;29.9644;693
5358;0;68.2363;15.1501;87.1551;17.2843;817
6756;0;68.2434;15.1507;87.1462;22.844;929
8476;0;68.2385;15.1436;87.1519;25.4182;977
10346;0;68.2385;15.1436;87.1519;14.8075;989
12264;0;68.2385;15.1436;87.1519;21.3342;982
14126;0;68.2385;15.1436;87.1519;19.0061;984
16020;0;68.2385;15.1436;87.1519;24.8603;977
17918;0;68.2385;15.1436;87.1519;18.3408;983
19786;0;68.2385;15.1436;87.1519;24.9139;978
21630;0;68.2385;15.1436;87.1519;22.0209;982
23476;0;68.2385;15.1436;87.1519;32.3551;981
25344;0;68.2385;15.1436;87.1519;24.9677;981
27268;0;68.2385;15.1436;87.1519;23.5409;982
29126;0;68.2385;15.1436;87.1519;45.7716;973
30974;0;68.2385;15.1436;87.1519;22.324;985
32878;0;68.2385;15.1436;87.1519;30.409;982
34782;0;68.2385;15.1436;87.1519;35.4088;981
36672;0;68.2385;15.1436;87.1519;36.5618;978
38566;0;68.2385;15.1436;87.1519;17.25;983
40456;0;68.2385;15.1436;87.1519;26.214;983
42324;0;68.2385;15.1436;87.1519;23.345;979
44206;0;68.2385;15.1436;87.1519;33.9235;969
46066;0;68.2385;15.1436;87.1519;26.7256;976
47938;0;68.2385;15.1436;87.1519;22.1372;985
49846;0;68.2385;15.1436;87.1519;31.0649;983
51758;0;68.2385;15.1436;87.1519;30.1187;979
53606;0;68.2385;15.1436;87.1519;25.0826;980
55516;0;68.2385;15.1436;87.1519;27.3008;978
57400;0;68.2385;15.1436;87.1519;23.8947;987
59296;0;68.2385;15.1436;87.1519;17.0456;988
61208;0;68.2385;15.1436;87.1519;38.0146;977
63108;0;68.2385;15.1436;87.1519;18.6083;990
65016;0;68.2385;15.1436;87.1519;23.0309;974
66850;0;68.2385;15.1436;87.1519;32.8383;986
68780;0;68.2385;15.1436;87.1519;37.3438;977
70652;0;68.2385;15.1436;87.1519;39.8759;981
72504;0;68.2385;15.1436;87.1519;18.6943;984
74406;0;68.2385;15.1436;87.1519;32.732;978
76284;0;68.2385;15.1436;87.1519;24.6094;980
78160;0;68.2385;15.1436;87.1519;29.4446;987
80090;0;68.2385;15.1436;87.1519;24.103;984
81964;0;68.2385;15.1436;87.1519;24.7419;982
83860;0;68.2385;15.1436;87.1519;30.8702;985
85798;0;68.2385;15.1436;87.1519;20.8872;983
87714;0;68.2385;15.1436;87.1519;18.325;983
89614;0;68.2385;15.1436;87.1519;34.3316;981
91530;0;68.2385;15.1436;87.1519;22.312;986
93434;0;68.2385;15.1436;87.1519;21.3262;987
95374;0;68.2385;15.1436;87.1519;23.3831;983
97260;0;68.2385;15.1436;87.1519;19.7588;987
99174;0;68.2385;15.1436;87.1519;32.2875;981
101084;0;68.2385;15.1436;87.1519;21.8592;981
102956;0;68.2385;15.1436;87.1519;31.6222;981
104834;0;68.2385;15.1436;87.1519;33.376;972
106704;0;68.2385;15.1436;87.1519;22.0056;979
108610;0;68.2385;15.1436;87.1519;22.1867;980
110526;0;68.2385;15.1436;87.1519;26.6714;987
112408;0;68.2385;15.1436;87.1519;41.9748;979
114280;0;68.2385;15.1436;87.1519;31.1641;976
116190;0;68.2385;15.1436;87.1519;23.8898;978
118094;0;68.2385;15.1436;87.1519;31.9794;981
119978;0;68.2385;15.1436;87.1519;30.6792;982
121882;0;68.2385;15.1436;87.1519;36.914;979
123760;0;68.2385;15.1436;87.1519;38.1165;978
125648;0;68.2385;15.1436;87.1519;30.023;983
127558;0;68.2385;15.1436;87.1519;20.0367;982
129426;0;68.2385;15.1436;87.1519;32.4999;984
131330;0;68.2385;15.1436;87.1519;33.2546;978
133234;0;68.2385;15.1436;87.1519;39.0301;984
135142;0;68.2385;15.1436;87.1519;17.85;989
137048;0;68.2385;15.1436;87.1519;28.9884;981
138960;0;68.2385;15.1436;87.1519;22.8374;982
140862;0;68.2385;15.1436;87.1519;23.315;986
142764;0;68.2385;15.1436;87.1519;31.3213;991
144672;0;68.2385;15.1436;87.1519;27.1339;985
146598;0;68.2385;15.1436;87.1519;31.3258;979
148486;0;68.2385;15.1436;87.1519;31.4209;981
150380;0;68.2385;15.1436;87.1519;44.5669;976
152250;0;68.2385;15.1436;87.1519;30.0858;986
154128;0;68.2385;15.1436;87.1519;23.6033;981
156030;0;68.2385;15.1436;87.1519;19.1801;983
157940;0;68.2385;15.1436;87.1519;25.4257;987
159848;0;68.2385;15.1436;87.1519;26.7252;978
161746;0;68.2385;15.1436;87.1519;29.2513;985
163638;0;68.2385;15.1436;87.1519;35.4424;983
165524;0;68.2385;15.1436;87.1519;30.8203;982
167456;0;68.2385;15.1436;87.1519;32.4704;976
169320;0;68.2385;15.1436;87.1519;26.1983;980
171194;0;68.2385;15.1436;87.1519;21.9923;982
173078;0;68.2385;15.1436;87.1519;20.9339;983
174980;0;68.2385;15.1436;87.1519;31.2036;984
176876;0;68.2385;15.1436;87.1519;26.9572;982
178748;0;68.2385;15.1436;87.1519;30.7941;979
180620;0;68.2385;15.1436;87.1519;23.1796;988
